一级类别,一级销售额,一级权重,二级类别,二级销售额,二级权重,三级类别,三级销售额,三级权重,基期销售量,基期销售额,基期价格,3月1日销售量,a3月1日销售额,平均价格,三级类指数,三级调整权重,二级类指数,二级调整权重,一级类指数,一级调整权重,总指数,二级基期价格,一级基期价格,三级真实权重,二级真实权重,一级真实权重
,,,,,,金坛雀舌,58800000,0.51%,49000,58800000,1200,17.4,23280,1337.93,111.49%,0.51%,,,,,,,,0.555677%,,
,,,,,,卷曲形茶,547467900,4.74%,2013578,547467900,271.89,5638,1610035.8,285.57,105.03%,4.74%,,,,,,,,5.164524%,,
,,,,,,六安瓜片,338000000,2.93%,1320000,338000000,256.06,65,130000,2000,781.07%,2.93%,,,,,,,,3.192417%,,
,,,,,,马边绿茶,2171400,0.02%,7755,2171400,280,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,茅山青锋,98560000,0.85%,308000,98560000,320,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,湄潭翠芽,111199000,0.96%,121000,111199000,919,368,308160,837.39,91.12%,0.96%,,,,,,,,1.045980%,,
,,,,,,湄潭毛峰,82620000,0.72%,340000,82620000,243,759,146070,192.45,79.20%,0.72%,,,,,,,,0.784485%,,
,,,,,,蒙顶甘露,7059000,0.06%,13575,7059000,520,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,蒙顶山茶,12888720,0.11%,35802,12888720,360,395,86568,219.16,60.88%,0.11%,,,,,,,,0.119852%,,
,,,,,,蒲江雀舌,1360590,0.01%,4389,1360590,310,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,钱塘龙井,142520000,1.23%,367100,142520000,388.23,2080,900800,433.08,111.55%,1.23%,,,,,,,,1.340161%,,
,,,,,,四川扁形茶,2835835000,24.56%,5419500,2835835000,523.27,3803,1968478,517.61,98.92%,24.56%,,,,,,,,26.759643%,,
,,,,,,松阳扁茶,373153202,3.23%,861538,373153202,433.12,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,松阳香茶,156800000,1.36%,1600000,156800000,98,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,条形茶,1730000000,14.98%,7000000,1730000000,247.14,3996.6,1296756,324.46,131.29%,14.98%,,,,,,,,16.321639%,,
,,,,,,五峰绿茶,1,0.00%,1,1,1,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,信阳毛尖,304000000,2.63%,2600000,304000000,116.92,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,宜宾早茶,3608550,0.03%,10935,3608550,330,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,永川秀芽,23173200,0.20%,36900,23173200,628,45.5,32420,712.53,113.46%,0.20%,,,,,,,,0.217912%,,
,,,,,,越州龙井,3146929100,27.25%,6130170,3146929100,513.35,1973,1574080,797.81,155.41%,27.25%,,,,,,,,29.690564%,,
,,,大宗绿茶,1741690136,13.11%,炒青绿茶,1524712600,87.54%,50012030,1524712600,30.49,620,92063,148.49,487.06%,87.54%,487.06%,13.11%,,,,32.13658256,,100.000000%,13.110000%,
,,,,,,烘青绿茶,216683536,12.44%,4182365,216683536,51.81,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,蒸青绿茶,294000,0.02%,2100,294000,140,,,,,0.00%,,,,,,,,0.000000%,,
红茶,573439780,3.96%,工夫红茶,496322380,86.55%,川红工夫　,311359600,62.73%,1003090,311359600,310.4,1385,700340,505.66,162.91%,62.73%,150.19%,86.55%,150.19%,3.96%,,169.6567639,166.8469967,84.530387%,100.000000%,4.06%
,,,,,,滇红工夫,45334280,9.13%,855360,45334280,53,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,宜红工夫,45000000,9.07%,450000,45000000,100,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,昭平红,37636000,7.58%,495200,37636000,76,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,遵义红,56992500,11.48%,121800,56992500,467.92,22.5,8500,377.78,80.74%,11.48%,,,,,,,,15.469613%,,
,,,小种红茶,76500000,13.34%,松阳红茶,76500000,100.00%,510000,76500000,150,,,,,0.00%,,0.00%,,,,150,,0.000000%,0.000000%,
,,,红碎茶,617400,0.11%,南川红碎茶,617400,100.00%,1470,617400,420,,,,,0.00%,,0.00%,,,,420,,0.000000%,0.000000%,
乌龙茶,354607930,2.45%,闽南乌龙,354607930,100.00%,安溪铁观音,332416500,93.74%,1624800,332416500,204.59,,,,,0.00%,,0.00%,,0.00%,,167.8847889,167.8847889,0.000000%,0.000000%,0.00%
,,,,,,黄金桂,22191430,6.26%,487410,22191430,45.53,,,,,0.00%,,,,,,,,0.000000%,,
黑茶,219495350,1.52%,安化黑茶,219200000,99.87%,茯砖,102000000,46.53%,680000,102000000,150,45,6840,152,101.33%,46.53%,125.13%,99.87%,125.12%,1.52%,,137,471.19476,46.530000%,99.870000%,1.56%
,,,,,,黑砖,12800000,5.84%,80000,12800000,160,16,2550,159.38,99.61%,5.84%,,,,,,,,5.840000%,,
,,,,,,千两,70400000,32.12%,640000,70400000,110,28,4308,153.86,139.87%,32.12%,,,,,,,,32.120000%,,
,,,,,,三尖,34000000,15.51%,200000,34000000,170,14,4180,298.57,175.63%,15.51%,,,,,,,,15.510000%,,
,,,四川黑茶,295350,0.13%,康砖,295350,100.00%,2187,295350,135.05,8,1264,158,117.00%,100.00%,117.00%,0.13%,,,,135.05,,100.000000%,0.130000%,
白茶,1650600,0.01%,白毫银针,1036800,62.81%,白毫银针,1036800,100.00%,2880,1036800,360,8,5940,742.5,206.25%,100.00%,206.25%,62.81%,206.25%,0.01%,,360,291.1111111,100.000000%,100.000000%,0.01%
,,,新工艺白茶,613800,37.19%,新工艺白茶,613800,100.00%,2790,613800,220,,,,,0.00%,,0.00%,,,,220,,0.000000%,0.000000%,
黄茶,1521900,0.01%,黄芽茶,1521900,100.00%,蒙顶黄芽,1521900,100.00%,2670,1521900,570,26,19558,752.23,131.97%,100.00%,131.97%,100.00%,131.97%,0.01%,,570,570,100.000000%,100.000000%,0.01%
花茶,37053690,0.26%,茉莉花茶,37053690,100.00%,四川茉莉花茶,37053690,100.00%,213714,37053690,173.38,460,69915,151.99,87.66%,100.00%,87.66%,100.00%,87.66%,0.26%,,173.38,173.38,100.000000%,100.000000%,0.27%
﻿一级类别,一级销售额,一级权重,二级类别,二级销售额,二级权重,三级类别,三级销售额,三级权重,基期销售量（kg）,基期销售额（元）,基期价格（元/kg）,3月25日销售量（kg）,3月25日销售额(元),3月25日平均价格,三级类指数,三级调整权重,二级类指数,二级调整权重,一级类指数,一级调整权重,总指数,,,三级真实权重,二级真实权重,一级真实权重
绿茶,13288345279,91.79%,名优绿茶,11546655143,86.89%,巴山雀舌,556800,0.00%,1740,556800,320,,,,,0.00%,131.89%,86.89%,167.28%,91.79%,165.79%,344.7141503,151.5328871,0.000000%,86.890000%,94.10%
,,,,,,邓村绿茶,1050000000,9.09%,3500000,1050000000,300,141,67630,479.65,159.88%,9.09%,,,,,,,,10.133779%,,
,,,,,,峨眉山茶,11527680,0.10%,30336,11527680,380,216,46866,216.97,57.10%,0.10%,,,,,,,,0.111483%,,
,,,,,,贵州针,72825000,0.63%,243000,72825000,299.69,76,45400,597.37,199.33%,0.63%,,,,,,,,0.702341%,,
,,,,,,汉中仙毫,75600000,0.65%,182000,75600000,415.38,413.9,228620,552.36,132.97%,0.65%,,,,,,,,0.724638%,,
,,,,,,黄山毛峰,360000000,3.12%,1300000,360000000,276.92,1695.5,655758,386.76,139.66%,3.12%,,,,,,,,3.478261%,,
,,,,,,金坛雀舌,58800000,0.51%,49000,58800000,1200,40,53870,1346.75,112.23%,0.51%,,,,,,,,0.568562%,,
,,,,,,卷曲形茶,547467900,4.74%,2013578,547467900,271.89,5352,1480729,276.67,101.76%,4.74%,,,,,,,,5.284281%,,
,,,,,,六安瓜片,338000000,2.93%,1320000,338000000,256.06,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,马边绿茶,2171400,0.02%,7755,2171400,280,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,茅山青锋,98560000,0.85%,308000,98560000,320,39,32080,822.56,257.05%,0.85%,,,,,,,,0.947603%,,
,,,,,,湄潭翠芽,111199000,0.96%,121000,111199000,919,213,177660,834.08,90.76%,0.96%,,,,,,,,1.070234%,,
,,,,,,湄潭毛峰,82620000,0.72%,340000,82620000,243,57,11230,197.02,81.08%,0.72%,,,,,,,,0.802676%,,
,,,,,,蒙顶甘露,7059000,0.06%,13575,7059000,520,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,蒙顶山茶,12888720,0.11%,35802,12888720,360,398,83088,208.76,57.99%,0.11%,,,,,,,,0.122631%,,
,,,,,,蒲江雀舌,1360590,0.01%,4389,1360590,310,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,钱塘龙井,142520000,1.23%,367100,142520000,388.23,2400,1000500,416.88,107.38%,1.23%,,,,,,,,1.371237%,,
,,,,,,四川扁形茶,2835835000,24.56%,5419500,2835835000,523.27,3500,1796574,513.31,98.10%,24.56%,,,,,,,,27.380156%,,
,,,,,,松阳扁茶,373153202,3.23%,861538,373153202,433.12,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,松阳香茶,156800000,1.36%,1600000,156800000,98,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,条形茶,1730000000,14.98%,7000000,1730000000,247.14,4201.6,1481099.6,352.51,142.63%,14.98%,,,,,,,,16.700111%,,
,,,,,,五峰绿茶,1,0.00%,1,1,1,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,信阳毛尖,304000000,2.63%,2600000,304000000,116.92,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,宜宾早茶,3608550,0.03%,10935,3608550,330,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,永川秀芽,23173200,0.20%,36900,23173200,628,122.5,36860,300.9,47.91%,0.20%,,,,,,,,0.222965%,,
,,,,,,越州龙井,3146929100,27.25%,6130170,3146929100,513.35,2059,1600340,777.24,151.41%,27.25%,,,,,,,,30.379041%,,
,,,大宗绿茶,1741690136,13.11%,炒青绿茶,1524712600,87.54%,50012030,1524712600,30.49,2559,313544.5,122.53,401.90%,87.54%,401.90%,13.11%,,,,32.13658256,,100.000000%,13.110000%,
,,,,,,烘青绿茶,216683536,12.44%,4182365,216683536,51.81,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,蒸青绿茶,294000,0.02%,2100,294000,140,,,,,0.00%,,,,,,,,0.000000%,,
红茶,573439780,3.96%,工夫红茶,496322380,86.55%,川红工夫　,311359600,62.73%,1003090,311359600,310.4,1585,796364,502.44,161.87%,62.73%,148.68%,86.55%,148.68%,3.96%,,169.6567639,166.8469967,84.530387%,100.000000%,4.06%
,,,,,,滇红工夫,45334280,9.13%,855360,45334280,53,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,宜红工夫,45000000,9.07%,450000,45000000,100,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,昭平红,37636000,7.58%,495200,37636000,76,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,遵义红,56992500,11.48%,121800,56992500,467.92,14.5,5200,358.62,76.64%,11.48%,,,,,,,,15.469613%,,
,,,小种红茶,76500000,13.34%,松阳红茶,76500000,100.00%,510000,76500000,150,,,,,0.00%,,0.00%,,,,150,,0.000000%,0.000000%,
,,,红碎茶,617400,0.11%,南川红碎茶,617400,100.00%,1470,617400,420,,,,,0.00%,,0.00%,,,,420,,0.000000%,0.000000%,
乌龙茶,354607930,2.45%,闽南乌龙,354607930,100.00%,安溪铁观音,332416500,93.74%,1624800,332416500,204.59,,,,,0.00%,,0.00%,,0.00%,,167.8847889,167.8847889,0.000000%,0.000000%,0.00%
,,,,,,黄金桂,22191430,6.26%,487410,22191430,45.53,,,,,0.00%,,,,,,,,0.000000%,,
黑茶,219495350,1.52%,安化黑茶,219200000,99.87%,茯砖,102000000,46.53%,680000,102000000,150,45,7590,168.67,112.44%,46.53%,133.24%,99.87%,133.23%,1.52%,,137,471.19476,46.530000%,99.870000%,1.56%
,,,,,,黑砖,12800000,5.84%,80000,12800000,160,23,3720,161.74,101.09%,5.84%,,,,,,,,5.840000%,,
,,,,,,千两,70400000,32.12%,640000,70400000,110,31,4380,141.29,128.45%,32.12%,,,,,,,,32.120000%,,
,,,,,,三尖,34000000,15.51%,200000,34000000,170,24,8880,370,217.65%,15.51%,,,,,,,,15.510000%,,
,,,四川黑茶,295350,0.13%,康砖,295350,100.00%,2187,295350,135.05,16,2688,168,124.40%,100.00%,124.40%,0.13%,,,,135.05,,100.000000%,0.130000%,
白茶,1650600,0.01%,白毫银针,1036800,62.81%,白毫银针,1036800,100.00%,2880,1036800,360,6,4260,710,197.22%,100.00%,197.22%,62.81%,197.22%,0.01%,,360,291.1111111,100.000000%,100.000000%,0.01%
,,,新工艺白茶,613800,37.19%,新工艺白茶,613800,100.00%,2790,613800,220,,,,,0.00%,,0.00%,,,,220,,0.000000%,0.000000%,
黄茶,1521900,0.01%,黄芽茶,1521900,100.00%,蒙顶黄芽,1521900,100.00%,2670,1521900,570,35,25361,724.6,127.12%,100.00%,127.12%,100.00%,127.12%,0.01%,,570,570,100.000000%,100.000000%,0.01%
花茶,37053690,0.26%,茉莉花茶,37053690,100.00%,四川茉莉花茶,37053690,100.00%,213714,37053690,173.38,533,82384,154.57,89.15%,100.00%,89.15%,100.00%,89.15%,0.26%,,173.38,173.38,100.000000%,100.000000%,0.27%
﻿一级类别,一级销售额,一级权重,二级类别,二级销售额,二级权重,三级类别,三级销售额,三级权重,基期销售量（kg）,基期销售额（元）,基期价格（元/kg）,3月26日销售量（kg）,3月26日销售额(元),3月26日平均价格,三级类指数,三级调整权重,二级类指数,二级调整权重,一级类指数,一级调整权重,总指数,,,三级真实权重,二级真实权重,一级真实权重
绿茶,13288345279,91.79%,名优绿茶,11546655143,86.89%,巴山雀舌,556800,0.00%,1740,556800,320,,,,,0.00%,137.44%,86.89%,176.51%,91.79%,174.42%,344.7141503,151.5328871,0.000000%,86.890000%,94.10%
,,,,,,邓村绿茶,1050000000,9.09%,3500000,1050000000,300,124.5,30462,244.67,81.56%,9.09%,,,,,,,,9.813235%,,
,,,,,,峨眉山茶,11527680,0.10%,30336,11527680,380,224,39962,178.4,46.95%,0.10%,,,,,,,,0.107956%,,
,,,,,,贵州针,72825000,0.63%,243000,72825000,299.69,131,75360,575.27,191.95%,0.63%,,,,,,,,0.680125%,,
,,,,,,汉中仙毫,75600000,0.65%,182000,75600000,415.38,417,271460,650.98,156.72%,0.65%,,,,,,,,0.701717%,,
,,,,,,黄山毛峰,360000000,3.12%,1300000,360000000,276.92,1997.85,807012,403.94,145.87%,3.12%,,,,,,,,3.368239%,,
,,,,,,金坛雀舌,58800000,0.51%,49000,58800000,1200,29,38690,1334.14,111.18%,0.51%,,,,,,,,0.550578%,,
,,,,,,卷曲形茶,547467900,4.74%,2013578,547467900,271.89,5690,1555956,273.45,100.58%,4.74%,,,,,,,,5.117133%,,
,,,,,,六安瓜片,338000000,2.93%,1320000,338000000,256.06,20,36000,1800,702.96%,2.93%,,,,,,,,3.163122%,,
,,,,,,马边绿茶,2171400,0.02%,7755,2171400,280,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,茅山青锋,98560000,0.85%,308000,98560000,320,24,19680,820,256.25%,0.85%,,,,,,,,0.917629%,,
,,,,,,湄潭翠芽,111199000,0.96%,121000,111199000,919,62,35910,579.19,63.02%,0.96%,,,,,,,,1.036381%,,
,,,,,,湄潭毛峰,82620000,0.72%,340000,82620000,243,12,2440,203.33,83.68%,0.72%,,,,,,,,0.777286%,,
,,,,,,蒙顶甘露,7059000,0.06%,13575,7059000,520,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,蒙顶山茶,12888720,0.11%,35802,12888720,360,405,91776,226.61,62.95%,0.11%,,,,,,,,0.118752%,,
,,,,,,蒲江雀舌,1360590,0.01%,4389,1360590,310,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,钱塘龙井,142520000,1.23%,367100,142520000,388.23,2450,984700,401.92,103.53%,1.23%,,,,,,,,1.327864%,,
,,,,,,四川扁形茶,2835835000,24.56%,5419500,2835835000,523.27,2888,1457637,504.72,96.46%,24.56%,,,,,,,,26.514088%,,
,,,,,,松阳扁茶,373153202,3.23%,861538,373153202,433.12,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,松阳香茶,156800000,1.36%,1600000,156800000,98,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,条形茶,1730000000,14.98%,7000000,1730000000,247.14,3064,934351,304.94,123.39%,14.98%,,,,,,,,16.171867%,,
,,,,,,五峰绿茶,1,0.00%,1,1,1,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,信阳毛尖,304000000,2.63%,2600000,304000000,116.92,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,宜宾早茶,3608550,0.03%,10935,3608550,330,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,永川秀芽,23173200,0.20%,36900,23173200,628,82,25860,315.37,50.22%,0.20%,,,,,,,,0.215913%,,
,,,,,,越州龙井,3146929100,27.25%,6130170,3146929100,513.35,2450,1853130,756.38,147.34%,27.25%,,,,,,,,29.418115%,,
,,,大宗绿茶,1741690136,13.11%,炒青绿茶,1524712600,87.54%,50012030,1524712600,30.49,2796,371262,132.78,435.54%,87.54%,435.54%,13.11%,,,,32.13658256,,100.000000%,13.110000%,
,,,,,,烘青绿茶,216683536,12.44%,4182365,216683536,51.81,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,蒸青绿茶,294000,0.02%,2100,294000,140,,,,,0.00%,,,,,,,,0.000000%,,
红茶,573439780,3.96%,工夫红茶,496322380,86.55%,川红工夫　,311359600,62.73%,1003090,311359600,310.4,1398,687626,491.86,158.46%,62.73%,147.13%,86.55%,147.13%,3.96%,,169.6567639,166.8469967,76.696418%,100.000000%,4.06%
,,,,,,滇红工夫,45334280,9.13%,855360,45334280,53,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,宜红工夫,45000000,9.07%,450000,45000000,100,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,昭平红,37636000,7.58%,495200,37636000,76,500,65000,130,171.05%,7.58%,,,,,,,,9.267637%,,
,,,,,,遵义红,56992500,11.48%,121800,56992500,467.92,20,6500,325,69.46%,11.48%,,,,,,,,14.035946%,,
,,,小种红茶,76500000,13.34%,松阳红茶,76500000,100.00%,510000,76500000,150,,,,,0.00%,,0.00%,,,,150,,0.000000%,0.000000%,
,,,红碎茶,617400,0.11%,南川红碎茶,617400,100.00%,1470,617400,420,,,,,0.00%,,0.00%,,,,420,,0.000000%,0.000000%,
乌龙茶,354607930,2.45%,闽南乌龙,354607930,100.00%,安溪铁观音,332416500,93.74%,1624800,332416500,204.59,,,,,0.00%,,0.00%,,0.00%,,167.8847889,167.8847889,0.000000%,0.000000%,0.00%
,,,,,,黄金桂,22191430,6.26%,487410,22191430,45.53,,,,,0.00%,,,,,,,,0.000000%,,
黑茶,219495350,1.52%,安化黑茶,219200000,99.87%,茯砖,102000000,46.53%,680000,102000000,150,64,11190,174.84,116.56%,46.53%,130.59%,99.87%,130.58%,1.52%,,137,471.19476,46.530000%,99.870000%,1.56%
,,,,,,黑砖,12800000,5.84%,80000,12800000,160,52,9040,173.85,108.65%,5.84%,,,,,,,,5.840000%,,
,,,,,,千两,70400000,32.12%,640000,70400000,110,34,4530,133.24,121.12%,32.12%,,,,,,,,32.120000%,,
,,,,,,三尖,34000000,15.51%,200000,34000000,170,21,7160,340.95,200.56%,15.51%,,,,,,,,15.510000%,,
,,,四川黑茶,295350,0.13%,康砖,295350,100.00%,2187,295350,135.05,24,3888,162,119.96%,100.00%,119.96%,0.13%,,,,135.05,,100.000000%,0.130000%,
白茶,1650600,0.01%,白毫银针,1036800,62.81%,白毫银针,1036800,100.00%,2880,1036800,360,10,6850,685,190.28%,100.00%,190.28%,62.81%,190.28%,0.01%,,360,291.1111111,100.000000%,100.000000%,0.01%
,,,新工艺白茶,613800,37.19%,新工艺白茶,613800,100.00%,2790,613800,220,,,,,0.00%,,0.00%,,,,220,,0.000000%,0.000000%,
黄茶,1521900,0.01%,黄芽茶,1521900,100.00%,蒙顶黄芽,1521900,100.00%,2670,1521900,570,30.5,22858,749.44,131.48%,100.00%,131.48%,100.00%,131.48%,0.01%,,570,570,100.000000%,100.000000%,0.01%
花茶,37053690,0.26%,茉莉花茶,37053690,100.00%,四川茉莉花茶,37053690,100.00%,213714,37053690,173.38,518,97630,188.47,108.71%,100.00%,108.71%,100.00%,108.71%,0.26%,,173.38,173.38,100.000000%,100.000000%,0.27%
﻿一级类别,一级销售额,一级权重,二级类别,二级销售额,二级权重,三级类别,三级销售额,三级权重,基期销售量（kg）,基期销售额（元）,基期价格（元/kg）,3月27日销售量（kg）,3月27日销售额(元),3月27日平均价格,三级类指数,三级调整权重,二级类指数,二级调整权重,一级类指数,一级调整权重,总指数,,,三级真实权重,二级真实权重,一级真实权重
绿茶,13288345279,91.79%,名优绿茶,11546655143,86.89%,巴山雀舌,556800,0.00%,1740,556800,320,,,,,0.00%,147.57%,86.89%,251.60%,91.79%,244.84%,344.7141503,151.5328871,0.000000%,86.890000%,94.10%
,,,,,,邓村绿茶,1050000000,9.09%,3500000,1050000000,300,362.5,136375,376.21,125.40%,9.09%,,,,,,,,9.813235%,,
,,,,,,峨眉山茶,11527680,0.10%,30336,11527680,380,226,47208.3,208.89,54.97%,0.10%,,,,,,,,0.107956%,,
,,,,,,贵州针,72825000,0.63%,243000,72825000,299.69,417,187800,450.36,150.27%,0.63%,,,,,,,,0.680125%,,
,,,,,,汉中仙毫,75600000,0.65%,182000,75600000,415.38,335,144760,432.12,104.03%,0.65%,,,,,,,,0.701717%,,
,,,,,,黄山毛峰,360000000,3.12%,1300000,360000000,276.92,1823.5,724225,397.16,143.42%,3.12%,,,,,,,,3.368239%,,
,,,,,,金坛雀舌,58800000,0.51%,49000,58800000,1200,43.5,58530,1345.52,112.13%,0.51%,,,,,,,,0.550578%,,
,,,,,,卷曲形茶,547467900,4.74%,2013578,547467900,271.89,51,25015,490.49,180.40%,4.74%,,,,,,,,5.117133%,,
,,,,,,六安瓜片,338000000,2.93%,1320000,338000000,256.06,20,40000,2000,781.07%,2.93%,,,,,,,,3.163122%,,
,,,,,,马边绿茶,2171400,0.02%,7755,2171400,280,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,茅山青锋,98560000,0.85%,308000,98560000,320,31,26160,843.87,263.71%,0.85%,,,,,,,,0.917629%,,
,,,,,,湄潭翠芽,111199000,0.96%,121000,111199000,919,55,33400,607.27,66.08%,0.96%,,,,,,,,1.036381%,,
,,,,,,湄潭毛峰,82620000,0.72%,340000,82620000,243,28,6760,241.43,99.35%,0.72%,,,,,,,,0.777286%,,
,,,,,,蒙顶甘露,7059000,0.06%,13575,7059000,520,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,蒙顶山茶,12888720,0.11%,35802,12888720,360,441,83729,189.86,52.74%,0.11%,,,,,,,,0.118752%,,
,,,,,,蒲江雀舌,1360590,0.01%,4389,1360590,310,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,钱塘龙井,142520000,1.23%,367100,142520000,388.23,1490,601400,403.62,103.96%,1.23%,,,,,,,,1.327864%,,
,,,,,,四川扁形茶,2835835000,24.56%,5419500,2835835000,523.27,2931,1449571,494.57,94.52%,24.56%,,,,,,,,26.514088%,,
,,,,,,松阳扁茶,373153202,3.23%,861538,373153202,433.12,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,松阳香茶,156800000,1.36%,1600000,156800000,98,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,条形茶,1730000000,14.98%,7000000,1730000000,247.14,6853,2121119,309.52,125.24%,14.98%,,,,,,,,16.171867%,,
,,,,,,五峰绿茶,1,0.00%,1,1,1,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,信阳毛尖,304000000,2.63%,2600000,304000000,116.92,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,宜宾早茶,3608550,0.03%,10935,3608550,330,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,永川秀芽,23173200,0.20%,36900,23173200,628,27.5,17580,639.27,101.80%,0.20%,,,,,,,,0.215913%,,
,,,,,,越州龙井,3146929100,27.25%,6130170,3146929100,513.35,2446,1845410,754.46,146.97%,27.25%,,,,,,,,29.418115%,,
,,,大宗绿茶,1741690136,13.11%,炒青绿茶,1524712600,87.54%,50012030,1524712600,30.49,828,237598,286.95,941.24%,87.54%,941.24%,13.11%,,,,32.13658256,,100.000000%,13.110000%,
,,,,,,烘青绿茶,216683536,12.44%,4182365,216683536,51.81,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,蒸青绿茶,294000,0.02%,2100,294000,140,,,,,0.00%,,,,,,,,0.000000%,,
红茶,573439780,3.96%,工夫红茶,496322380,86.55%,川红工夫　,311359600,62.73%,1003090,311359600,310.4,1393,670552,481.37,155.08%,62.73%,141.77%,86.55%,141.77%,3.96%,,169.6567639,166.8469967,84.530387%,100.000000%,4.06%
,,,,,,滇红工夫,45334280,9.13%,855360,45334280,53,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,宜红工夫,45000000,9.07%,450000,45000000,100,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,昭平红,37636000,7.58%,495200,37636000,76,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,遵义红,56992500,11.48%,121800,56992500,467.92,26,8400,323.08,69.05%,11.48%,,,,,,,,15.469613%,,
,,,小种红茶,76500000,13.34%,松阳红茶,76500000,100.00%,510000,76500000,150,,,,,0.00%,,0.00%,,,,150,,0.000000%,0.000000%,
,,,红碎茶,617400,0.11%,南川红碎茶,617400,100.00%,1470,617400,420,,,,,0.00%,,0.00%,,,,420,,0.000000%,0.000000%,
乌龙茶,354607930,2.45%,闽南乌龙,354607930,100.00%,安溪铁观音,332416500,93.74%,1624800,332416500,204.59,,,,,0.00%,,0.00%,,0.00%,,167.8847889,167.8847889,0.000000%,0.000000%,0.00%
,,,,,,黄金桂,22191430,6.26%,487410,22191430,45.53,,,,,0.00%,,,,,,,,0.000000%,,
黑茶,219495350,1.52%,安化黑茶,219200000,99.87%,茯砖,102000000,46.53%,680000,102000000,150,61,9460,155.08,103.39%,46.53%,129.62%,99.87%,129.62%,1.52%,,137,471.19476,46.530000%,99.870000%,1.56%
,,,,,,黑砖,12800000,5.84%,80000,12800000,160,31,5340,172.26,107.66%,5.84%,,,,,,,,5.840000%,,
,,,,,,千两,70400000,32.12%,640000,70400000,110,31,4730,152.58,138.71%,32.12%,,,,,,,,32.120000%,,
,,,,,,三尖,34000000,15.51%,200000,34000000,170,14,4706,336.14,197.73%,15.51%,,,,,,,,15.510000%,,
,,,四川黑茶,295350,0.13%,康砖,295350,100.00%,2187,295350,135.05,5,875,175,129.58%,100.00%,129.58%,0.13%,,,,135.05,,100.000000%,0.130000%,
白茶,1650600,0.01%,白毫银针,1036800,62.81%,白毫银针,1036800,100.00%,2880,1036800,360,12,9450,787.5,218.75%,100.00%,218.75%,62.81%,218.75%,0.01%,,360,291.1111111,100.000000%,100.000000%,0.01%
,,,新工艺白茶,613800,37.19%,新工艺白茶,613800,100.00%,2790,613800,220,,,,,0.00%,,0.00%,,,,220,,0.000000%,0.000000%,
黄茶,1521900,0.01%,黄芽茶,1521900,100.00%,蒙顶黄芽,1521900,100.00%,2670,1521900,570,29.3,21928.5,748.41,131.30%,100.00%,131.30%,100.00%,131.30%,0.01%,,570,570,100.000000%,100.000000%,0.01%
